ID Khách hàng,Họ và tên,Tuổi,Số điện thoại,Quận,Phường,Địa chỉ chi tiết,Email,Ngày sinh,Lịch sử mua hàng,Tần suất mua hàng,Tổng doanh thu,Tổng lợi nhuận,Đánh giá,Số lượt đánh giá,Tham gia KM
001,Bùi Vĩ Như,56,0966309739,Huyện Nhà Bè,Xã Phước Kiển,1 Phan Văn Bảy,bui_vi_nhu_24111968@gmail.com,1968-11-24,Carvedilol,4,3199963.27,2339740,3.6,4,4
002,Nguyễn Hà Hải,61,0985520340,Quận 7,Bình Thuận,61 Nguyễn Văn Cừ,nguyen_ha_hai_09051963@gmail.com,1963-05-09,"Citalopram, Isotretinoin, Paracetamol, Aripiprazole",1,3721484.74,2666398,4.6,2,2
003,Hồ Phúc Lan,78,0967016878,Huyện Nhà Bè,Xã Nhơn Đức,23 Long Thới,ho_phuc_lan_26041946@gmail.com,1946-04-26,Sildenafil,7,465823.86,315704,3.3,1,0
004,Đỗ Khánh Lan,58,0961995013,Huyện Nhà Bè,Xã Phú Xuân,45 Nguyễn Văn Thọ,do_khanh_lan_08091966@gmail.com,1966-09-08,Amlodipine,1,3300268.93,2413574,4.7,4,4
005,Đỗ Minh Quang,55,0915345417,Quận 7,Tân Hưng,31 Hưng Long,do_minh_quang_26071969@gmail.com,1969-07-26,Fexofenadine,11,2792878.0,2007087,3.9,4,4
006,Hồ Ngọc An,30,0986606235,Huyện Nhà Bè,Xã Phước Kiển,15 Nguyễn Hữu Thọ,ho_ngoc_an_05031994@gmail.com,1994-03-05,"Dexamethasone, Ramipril, Amlodipine, Aspirin",12,416609.78,287828,3.9,1,0
007,Lê Thành Đức,70,0933440797,Quận 7,Tân Thuận Tây,34 Nguyễn Văn Tiết,le_thanh_duc_17111954@gmail.com,1954-11-17,"Bacitracin, Memantine",4,4006428.92,2863820,3.9,2,2
008,Vũ Bích An,44,0922694263,Huyện Nhà Bè,Xã Phú Xuân,98 Vạn Phát Hưng,vu_bich_an_07011980@gmail.com,1980-01-07,"Atomoxetine, Tramadol",4,2586267.93,1672712,4.5,3,3
009,Ngô Hải Thị,79,0985641524,Huyện Nhà Bè,Xã Nhơn Đức,30 Phan Văn Bảy,ngo_hai_thi_18101945@gmail.com,1945-10-18,"Methylphenidate, Diclofenac",1,3928840.91,2492121,4.0,2,2
010,Hồ Tú Thị,36,0914558099,Quận 7,Bình Thuận,93 Phạm Hữu Lầu,ho_tu_thi_19081988@gmail.com,1988-08-19,"Celecoxib, Methadone",11,3234359.02,2405228,4.7,4,4
